iter	Logloss
0	0.6891531603
1	0.68546238172	0.6828500806
3	0.6792728967
4	0.6761210388
5	0.6720120999
6	0.6681911124
7	0.6651661071
8	0.6613050559
9	0.6580123734
10	0.6538288058
11	0.6510574831
12	0.6483177913
13	0.6458771353
14	0.6432208706
15	0.6402563783
16	0.6374222679
17	0.6348078484
18	0.6323277231
19	0.6300866551
20	0.6282431248
21	0.6252244993
22	0.6221365272
23	0.6199345363
24	0.6092579611
25	0.6067364904
26	0.6043813542
27	0.6023520044
28	0.5990790539
29	0.5966466526
30	0.6022370934
31	0.6001020001
32	0.5979422374
33	0.5963271407
34	0.5938427469
35	0.5920008366
36	0.5897082117
37	0.5870463911
38	0.5842141633
39	0.5826799175
40	0.5808663615
41	0.5788139984442	0.5765826965443	0.5746643698
44	0.5722390588
45	0.5701164793
46	0.5683737575
47	0.5659354339
48	0.5642441553
49	0.5622921936
50	0.5608079996
51	0.5586520652
52	0.5567987576
53	0.55461644
54	0.5523121288
55	0.5508026489
56	0.5489663657
57	0.5465878955
58	0.54490007
59	0.5430668944
60	0.5415344646
61	0.5397753505
62	0.5379656646
63	0.5362836317
64	0.5346717133
65	0.5327038285
66	0.5313477236
67	0.5297689342
68	0.5284101939
69	0.5266550474
70	0.5250987529
7171	0.5122219287272	0.5105391746
73	0.5089655618
74	0.5071389814
75	0.505437204
76	0.5038851303
77	0.502725192
78	0.5008652616
79	0.4993352369
80	0.4974476831
81	0.4962021647
82	0.4947317088
83	0.4932906724
84	0.4919274644
85	0.4907022378
86	0.4892327322
87	0.487866796
88	0.486801731
89	0.4856529041
90	0.4847100637
91	0.4834063751
92	0.4823175713
93	0.481033807
94	0.4801791842
95	0.4790227712
96	0.4779435875
97	0.4771374101
98	0.476173003
99	0.4752984465
100	0.4742750809
101	0.4730241627
102	0.4720486141
103	0.4709181859
104	0.4699108933
105	0.4685593079
106	0.4677445748
107	0.4667569933
108	0.4658968923
109	0.4648881517
110	0.4640188455
111	0.4628577351
112	0.4620047361
113	0.461281552
114	0.4603250814
115	0.4596486885
116	0.4589231631
117	0.4578901576
118	0.4569704051
119	0.4560414142
120	0.4550926066
121	0.4540036374
122	0.4532958196
123	0.452363131
124	0.4512298479
125	0.4503991993
126	0.4495542333
127	0.4485533521
128	0.4475831473
129	0.4468586712
130	0.4459914331
131	0.4450413099
132	0.4441376464
133	0.4431752334
134	0.4425989383
135	0.4416299214
136	0.4407544839
137	0.4400753985
138	0.4394465255
139	0.4385636102
140	0.4376341174
141	0.4363888708
142	0.4356054545
143	0.4346888451
144	0.4339231589
145	0.4329459823
146	0.4322230466
147	0.4315129879
148	0.4307417591
149	0.4301303871
150	0.429470479
151	0.4288323292
152	0.427981157
153	0.4271397636
154	0.4266285985
155	0.4261143487
156	0.4253969117
157	0.4248327583
158	0.4243653763
159	0.4237030704
160	0.423158934
161	0.4225946339
162	0.4220346029
163	0.4213229686
164	0.4205998925
165	0.4199643401
166	0.4193878643
167	0.4188230455
168	0.4182912461
169	0.4176883662
170	0.4169120418
171	0.4159345551
172	0.4152389677
173	0.4146922199
174	0.4140924372
175	0.4135628725
176	0.4128850624
177	0.4122460612
178	0.4114788725
179	0.4107677719
180	0.4100419058
181	0.4092223682
182	0.4085387657
183	0.4077779177
184	0.4072605069
185	0.4063444958
186	0.4058245154
187	0.4049778312
188	0.4043730848
189	0.4036250011
190	0.4030952663
191	0.4022815113
192	0.4017437118
193	0.4010577225
194	0.4006546984
195	0.4000201418
196	0.3994269936
197	0.3988764686
198	0.3983587655
199	0.3977249021
200	0.3973182524
201	0.3968017442
202	0.3962560726
203	0.3957379273
204	0.3951044559
205	0.3945547962
206	0.3941102014
207	0.393364365
208	0.3929151473
209	0.3923902908
210	0.3918987751
211	0.3916329563
212	0.3907413638
213	0.3902036932
214	0.3898987131
215	0.3894970886
216	0.3891582795
217	0.388681091
218	0.3883188608
219	0.38790463
220	0.3874240483
221	0.3869795803
222	0.3865889262
223	0.3861791069
224	0.3855292647
225	0.3851279934
226	0.3845493818
227	0.3839510397
228	0.3834766188
229	0.3830154184
230	0.3827113599
231	0.3822593449
232	0.3820654933
233	0.3815747764
234	0.3810567953
235	0.3805385063
236	0.380025619
237	0.3797390963
238	0.3794547955
239	0.3789852307
240	0.378647936
241	0.3781526637
242	0.3778027684
243	0.3773409965
244	0.3769492296
245	0.3762312724
246	0.3757363194
247	0.3753335914
248	0.3749554733
249	0.3746333772
250	0.3742227892
251	0.3737945791
252	0.3735072218
253	0.3730145229
254	0.3724519391
255	0.3720024544
256	0.3717507336
257	0.3713085601
258	0.3709822112
259	0.370591736
260	0.3701375643
261	0.3696058513
262	0.3692786049
263	0.3688209077
264	0.3683702223
265	0.367966842
266	0.3675915696
267	0.3671540287
268	0.3668220561
269	0.3663881922
270	0.3660137477
271	0.3657088295
272	0.3653919399
273	0.3650977501
274	0.3648868592
275	0.3643919849
276	0.3641538226
277	0.3636743469
278	0.3633265781
279	0.3628172002
280	0.3625446949
281	0.36206312
282	0.361549576
283	0.3610383069
284	0.3607208735
285	0.3601694227
286	0.359797235
287	0.3591272448
288	0.3588862837
289	0.3586119364
290	0.3584076226
291	0.3579806055
292	0.3577754247
