iter	Passed	Remaining
0	2	2713
1	6	3394
2	63	20974
3	71	17704
4	73	14601
5	75	12534
6	78	11126
7	81	10167
8	88	9734
9	90	8975
10	95	8620
11	98	8087
12	100	7629
13	102	7242
14	106	6977
15	108	6675
16	121	7051
17	124	6782
18	126	6552
19	129	6331
20	135	6306
21	137	6114
22	1324	125	4888
25	127	4779
26	129	4677
27	132	4593
28	134	4511
29	137	4448
30	139	4371
31	142	30	194	6071
31	196	5954
32	199	5848
33	202	5765
34	205	5667
35	2037	179	36	2138	182	37	2139	186	38	2140	189	39	2141	192	40	2242	194	4328
43	196	4276
44	200	43	249	5418
44	256	5437
45	258	5361
46	260	5288
47	263	5220
48	265	5153
49	268	5103
50	271	5045
51	2753	245	52	2754	247	53	2755	250	54	284	4895
55	303	5114
56	310	5131
57	312	5077
58	315	5024
59	317	4974
60	319	4924
61	323	4888
62	325	4841
63	327	4795
64	330	4751
65	332	4709
66	336	4690
67	339	4650
68	342	4623
69	3471	317	4085
72	323	4104
73	333	4172
74	341	4212
75	346	4213
76	348	4182
77	351	4152
78	354	4131
79	362	4165
80	365	4151
81	369	4133
82	371	4105
83	374	4078
84	395	4256
85	397	4227
86	400	4199
87	402	4170
88	404	4144
89	408	4134
90	411	4108
91	413	4082
92	416	4057
93	439	4232
94	441	4203
95	443	4176
96	446	4159
97	449	4136
98	451	4112
99	454	4087
100	456	4063
101	462	4070
102	469	4089
103	473	4075
104	475	4051
105	510	4305
106	512	4280
107	515	4254
108	552	4518
109	558	4518
110	567	4545
111	569	4518
112	572	4492
113	574	4466
114	580	4465
115	582	4440
116	585	4415
117	587	4390
118	590	4370
119	592	4346
120	595	4323
121	597	4299
122	599	4276
123	610	4316
124	613	4293
125	618	4290
126	627	4316
127	630	4293
128	632	4270
129	634	4248
130	637	4226
131	639	4204
132	642	4187
133	644	4166
134	647	4145
135	649	4125
136	651	4104
137	662	4135
138	667	4133
139	669	4114
140	672	4094
141	674	4077
142	682	4088
143	684	4068
144	686	4050
145	689	4032
146	694	4030
147	703	4047
148	707	4039
149	709	4020
150	739	4158
151	746	4162
152	749	4150
153	752	4133
154	754	4115
155	758	4102
156	760	4085
157	763	4067
158	765	4049
159	767	4031
160	771	4021
161	774	4004
162	785	4033
163	787	4015
164	790	3998
165	792	3981
166	794	3965
167	799	3960
168	802	3943
169	804	3926
170	806	3910
171	809	3898
172	812	3883
173	814	3866
174	816	3850
175	819	3834
176	821	3818
177	828	3826
178	836	3836
179	838	3821
180	841	3806
181	843	3791
182	845	3776
183	850	3770
184	852	3755
185	854	3740
186	857	3726
187	859	3711
188	880	3778
189	882	3764
190	885	3750
191	889	3742
192	891	3728
193	894	3714
194	896	3702
195	899	3689
196	903	3684
197	906	3671
198	908	3658
199	911	3644
200	913	3633
201	933	3686
202	944	3708
203	950	3708
204	954	3699
205	956	3686
206	958	3673
207	961	3659
208	963	3646
209	971	3654
210	973	3641
211	976	3628
212	984	3638
213	987	3625
214	993	3628
215	1014	3683
216	1051	3793
217	1063	3815
218	1066	3801
219	1068	3788
220	1071	3776
221	1077	3776
222	1079	3762
223	1082	3748
224	1086	3742
225	1091	3738
226	1094	3725
227	1120	3794
228	1124	3786
229	1126	3772
230	1129	3759
231	1131	3745
232	1133	3732
233	1137	3724
234	1140	3711
235	1145	3706
236	1147	3693
237	1151	3685
238	1153	3672
239	1159	3670
240	1162	3660
241	1164	3647
242	1166	3634
243	1169	3622
244	1171	3609
245	1173	3596
246	1176	3586
247	1180	3578
248	1182	3566
249	1184	3554
250	1189	3549
251	1191	3537
252	1193	3524
253	1196	3512
254	1198	3501
255	1202	3494
256	1204	3482
257	1207	3471
258	1209	3459
259	1211	3448
260	1215	3440
261	1217	3429
262	1220	3420
263	1223	3409
264	1225	3398
265	1231	3397
266	1233	3386
267	1236	3375
268	1238	3365
269	1242	3358
270	1250	3363
271	1254	3357
272	1257	3347
273	1259	3337
274	1262	3327
275	1264	3317
276	1272	3320
277	1274	3310
278	1276	3299
279	1279	3291
280	1284	3287
281	1287	3277
282	1294	3280
283	1296	3269
284	1299	3259
285	1301	3249
286	1303	3238
287	1308	3234
288	1310	3224
289	1312	3214
290	1315	3204
291	1318	3197
292	1324	3196
293	1327	3187
294	1333	3187
295	1336	3177
296	1338	3168
297	1340	3158
298	1343	3150
299	1346	3141
300	1348	3131
301	1350	3122
302	1353	3112
303	1357	3107
304	1359	3098
305	1362	3089
306	1364	3080
307	1367	3071
308	1390	3110
309	1393	3101
310	1397	3095
311	1399	3086
312	1402	3077
313	1404	3068
314	1406	3059
315	1411	3054
316	1414	3048
317	1417	3039
318	1449	3094
319	1451	3085
320	1457	3082
321	1459	3073
322	1462	3066
323	1465	3056
324	1467	3047
325	1469	3038
326	1471	3029
327	1475	3022
328	1477	3013
329	1479	3004
330	1482	2995
331	1484	2986
